corpus,claim_id,expected,eligible,cl_status,quote_worst,input_tokens,latency_s,cost_usd,relation,relation_conf,p_contradicts,p_says_nothing,p_partly,p_supports,same_issue,states_it,opposite,overstated,whose_view,whose_conf,p_court,support_score,support_conf
withers,withers-38,yellow,0,VERIFIED,CLOSE,2472,0.172,0.000104,supports,1.0,0.0,0.0,0.0,1.0,0.95,0.98,0.02,0.19,court,1.0,1.0,2.99,0.99
withers,withers-39,green,1,VERIFIED,NO_QUOTES,2123,0.178,8.9e-05,supports,0.46,0.0,0.0,0.4,0.6,0.86,0.95,0.12,0.72,court,0.84,0.89,2.2,0.74
withers,withers-41,yellow,1,VERIFIED,NO_QUOTES,2312,0.187,9.7e-05,says_nothing,0.59,0.06,0.7,0.14,0.1,0.34,0.29,0.17,0.85,not_discussed,0.65,0.1,0.75,0.55
withers,withers-44,yellow,1,VERIFIED,NO_QUOTES,2025,0.169,8.5e-05,partly,0.48,0.0,0.0,0.61,0.39,0.93,0.89,0.09,0.77,court,0.99,0.99,2.23,0.72
withers,withers-45,yellow,0,VERIFIED,FABRICATED,1827,0.164,7.7e-05,supports,0.67,0.01,0.0,0.24,0.75,0.93,0.97,0.09,0.81,court,1.0,1.0,2.56,0.56
withers,withers-46,green,1,VERIFIED,NO_QUOTES,3133,0.173,0.000132,supports,0.61,0.0,0.01,0.28,0.71,0.95,0.9,0.06,0.67,court,0.98,0.99,2.06,0.65
withers,withers-47,yellow,1,VERIFIED,NO_QUOTES,3090,0.204,0.00013,says_nothing,0.97,0.02,0.98,0.0,0.0,0.05,0.05,0.08,0.95,not_discussed,0.95,0.01,0.08,0.92
withers,withers-48,yellow,1,VERIFIED,NO_QUOTES,2726,0.176,0.000114,says_nothing,1.0,0.0,1.0,0.0,0.0,0.03,0.03,0.06,0.94,not_discussed,0.99,0.01,0.01,0.99
withers,withers-49,yellow,1,VERIFIED,NO_QUOTES,2269,0.205,9.5e-05,supports,0.82,0.02,0.03,0.09,0.86,0.72,0.4,0.14,0.55,court,0.44,0.59,2.39,0.39
withers,withers-50,green,1,VERIFIED,NO_QUOTES,2045,0.206,8.6e-05,supports,0.46,0.0,0.0,0.4,0.6,0.97,0.95,0.04,0.53,court,0.99,1.0,2.64,0.64
payne,payne-00,green,1,VERIFIED,NO_QUOTES,2504,0.195,0.000105,supports,1.0,0.0,0.0,0.0,1.0,0.98,0.98,0.02,0.21,court,1.0,1.0,3.0,1.0
payne,payne-02,red,0,POSSIBLE_MATCH,NO_QUOTES,2036,0.156,8.6e-05,says_nothing,1.0,0.0,1.0,0.0,0.0,0.02,0.02,0.07,0.93,not_discussed,0.99,0.0,0.0,1.0
payne,payne-03,red,1,VERIFIED,NO_QUOTES,2297,0.166,9.6e-05,says_nothing,0.95,0.02,0.95,0.02,0.01,0.2,0.12,0.16,0.81,not_discussed,0.89,0.07,0.08,0.92
payne,payne-11,red,1,VERIFIED,NO_QUOTES,3032,0.187,0.000127,says_nothing,0.83,0.01,0.87,0.05,0.07,0.23,0.13,0.14,0.73,not_discussed,0.81,0.13,0.32,0.68
payne,payne-12,red,0,VERIFIED,FABRICATED,2494,0.189,0.000105,says_nothing,0.99,0.0,1.0,0.0,0.0,0.08,0.1,0.12,0.83,not_discussed,0.94,0.04,0.05,0.95
payne,payne-14,red,0,VERIFIED,FABRICATED,2636,0.162,0.000111,says_nothing,0.95,0.01,0.96,0.02,0.01,0.15,0.1,0.21,0.88,not_discussed,0.88,0.08,0.08,0.92
payne,payne-15,red,0,LIKELY_REAL,FABRICATED,2621,0.236,0.00011,says_nothing,1.0,0.0,1.0,0.0,0.0,0.04,0.05,0.1,0.88,not_discussed,0.99,0.01,0.01,0.99
payne,payne-16,green,1,VERIFIED,NO_QUOTES,2215,0.274,9.3e-05,says_nothing,0.14,0.05,0.35,0.33,0.27,0.64,0.51,0.16,0.69,court,0.52,0.63,1.43,0.21
payne,payne-23,red,0,POSSIBLE_MATCH,NO_QUOTES,2675,0.169,0.000112,says_nothing,0.99,0.01,0.99,0.0,0.0,0.07,0.09,0.14,0.88,not_discussed,0.96,0.02,0.04,0.96
payne,payne-32,green,1,VERIFIED,VERBATIM,1586,0.151,6.7e-05,supports,0.98,0.0,0.0,0.01,0.99,0.91,0.98,0.1,0.6,court,0.84,0.87,2.86,0.86
payne,payne-33,green,1,VERIFIED,VERBATIM,2089,0.216,8.8e-05,supports,1.0,0.0,0.0,0.0,1.0,0.97,0.99,0.02,0.15,court,0.99,1.0,2.99,0.99
payne,payne-34,green,1,VERIFIED,VERBATIM,3240,0.209,0.000136,supports,1.0,0.0,0.0,0.0,1.0,0.95,0.98,0.02,0.32,court,0.9,0.93,2.97,0.97
payne,payne-38,green,1,VERIFIED,VERBATIM,2298,0.161,9.7e-05,supports,0.98,0.0,0.0,0.02,0.98,0.94,0.97,0.03,0.3,court,0.99,0.99,2.93,0.93
payne,payne-42,green,1,VERIFIED,NO_QUOTES,1831,0.192,7.7e-05,supports,0.99,0.0,0.0,0.01,0.99,0.94,0.97,0.03,0.22,court,0.99,0.99,2.94,0.94
payne,payne-43,green,1,VERIFIED,NO_QUOTES,1857,0.195,7.8e-05,supports,1.0,0.0,0.0,0.0,1.0,0.97,0.98,0.03,0.22,court,0.98,0.99,2.95,0.95
payne,payne-47,green,1,VERIFIED,NO_QUOTES,2262,0.169,9.5e-05,partly,0.33,0.01,0.03,0.5,0.46,0.76,0.59,0.08,0.78,court,0.55,0.66,1.24,0.58
payne,payne-48,green,1,VERIFIED,NO_QUOTES,1801,0.195,7.6e-05,supports,0.98,0.0,0.0,0.01,0.99,0.94,0.98,0.03,0.64,court,1.0,1.0,2.96,0.96
payne,payne-50,red,1,VERIFIED,NO_QUOTES,2092,0.154,8.8e-05,says_nothing,0.89,0.0,0.92,0.05,0.03,0.05,0.1,0.16,0.91,not_discussed,0.9,0.07,0.23,0.77
payne,payne-52,yellow,1,VERIFIED,NO_QUOTES,2486,0.131,0.000104,contradicts,0.72,0.79,0.08,0.09,0.04,0.56,0.19,0.74,0.79,not_discussed,0.26,0.37,0.66,0.34
payne,payne-54,green,1,VERIFIED,NO_QUOTES,1971,0.154,8.3e-05,supports,0.96,0.0,0.0,0.03,0.97,0.92,0.94,0.05,0.4,court,0.99,1.0,2.89,0.89
payne,payne-58,yellow,0,VERIFIED,FABRICATED,1747,0.183,7.3e-05,supports,0.91,0.0,0.0,0.06,0.94,0.94,0.96,0.05,0.41,court,0.99,0.99,2.86,0.86
payne,payne-59,yellow,0,VERIFIED,FABRICATED,2268,0.148,9.5e-05,partly,0.17,0.01,0.27,0.37,0.35,0.5,0.22,0.15,0.82,not_discussed,0.56,0.32,1.08,0.52
payne,payne-69,green,1,VERIFIED,VERBATIM,1622,0.136,6.8e-05,supports,0.96,0.0,0.0,0.03,0.97,0.95,0.97,0.05,0.31,court,0.99,0.99,2.96,0.96
payne,payne-73,green,1,VERIFIED,VERBATIM,1957,0.145,8.2e-05,supports,0.71,0.0,0.0,0.21,0.79,0.96,0.98,0.06,0.45,court,0.99,1.0,2.74,0.74
payne,payne-75,green,1,VERIFIED,NO_QUOTES,2472,0.157,0.000104,supports,0.93,0.0,0.0,0.05,0.95,0.98,0.97,0.02,0.55,court,0.98,0.99,2.98,0.98
payne,payne-77,green,1,VERIFIED,VERBATIM,1961,0.159,8.2e-05,supports,1.0,0.0,0.0,0.0,1.0,0.89,0.99,0.02,0.29,court,1.0,1.0,2.97,0.97
payne,payne-79,red,0,VERIFIED,FABRICATED,1656,0.19,7e-05,partly,0.31,0.45,0.05,0.48,0.02,0.5,0.24,0.45,0.86,court,0.62,0.72,1.03,0.68
wainwright,wainwright-00,green,1,VERIFIED,NO_QUOTES,2296,0.271,9.6e-05,supports,0.87,0.02,0.01,0.07,0.9,0.97,0.94,0.05,0.64,court,0.99,0.99,2.84,0.84
wainwright,wainwright-01,green,1,VERIFIED,NO_QUOTES,1639,0.224,6.9e-05,supports,1.0,0.0,0.0,0.0,1.0,0.98,0.99,0.02,0.16,court,1.0,1.0,2.99,0.99
wainwright,wainwright-02,green,1,VERIFIED,VERBATIM,1641,0.286,6.9e-05,supports,1.0,0.0,0.0,0.0,1.0,0.97,0.99,0.02,0.15,court,1.0,1.0,3.0,1.0
wainwright,wainwright-03,green,1,VERIFIED,NO_QUOTES,2254,0.164,9.5e-05,supports,1.0,0.0,0.0,0.0,1.0,0.98,0.99,0.02,0.27,court,1.0,1.0,3.0,1.0
wainwright,wainwright-04,green,1,VERIFIED,NO_QUOTES,2918,0.135,0.000123,supports,0.72,0.0,0.0,0.21,0.79,0.96,0.96,0.02,0.73,court,1.0,1.0,2.89,0.89
wainwright,wainwright-05,green,1,VERIFIED,NO_QUOTES,1612,0.16,6.8e-05,supports,0.99,0.0,0.0,0.0,1.0,0.96,0.97,0.04,0.47,court,0.98,0.98,2.96,0.96
wainwright,wainwright-06,green,1,VERIFIED,NO_QUOTES,2411,0.145,0.000101,supports,0.95,0.0,0.0,0.04,0.96,0.95,0.9,0.04,0.59,court,0.97,0.98,2.68,0.68
wainwright,wainwright-07,green,1,VERIFIED,NO_QUOTES,2737,0.185,0.000115,supports,1.0,0.0,0.0,0.0,1.0,0.98,0.98,0.02,0.23,court,1.0,1.0,3.0,1.0
wainwright,wainwright-08,green,1,VERIFIED,NO_QUOTES,1594,0.198,6.7e-05,supports,0.99,0.0,0.0,0.01,0.99,0.96,0.98,0.02,0.36,court,1.0,1.0,2.98,0.98
wainwright,wainwright-09,green,1,VERIFIED,NO_QUOTES,3034,0.167,0.000127,partly,0.65,0.09,0.02,0.74,0.15,0.89,0.48,0.38,0.68,court,0.69,0.77,1.51,0.34
wainwright,wainwright-10,green,0,VERIFIED,CLOSE,2016,0.218,8.5e-05,supports,0.91,0.0,0.0,0.07,0.93,0.97,0.95,0.04,0.3,court,0.95,0.96,2.9,0.9
wainwright,wainwright-11,green,0,,NO_QUOTES,2666,0.195,0.000112,supports,0.83,0.0,0.0,0.12,0.88,0.95,0.89,0.06,0.38,court,0.99,0.99,2.69,0.69
wainwright,wainwright-12,green,0,VERIFIED,CLOSE,1978,0.181,8.3e-05,supports,0.99,0.0,0.0,0.0,1.0,0.96,0.97,0.04,0.14,court,0.99,0.99,2.97,0.97
wainwright,wainwright-13,green,1,VERIFIED,NO_QUOTES,2604,0.258,0.000109,supports,1.0,0.0,0.0,0.0,1.0,0.93,0.97,0.03,0.16,court,0.99,1.0,2.97,0.97
wainwright,wainwright-14,green,1,VERIFIED,VERBATIM,2012,0.154,8.5e-05,supports,0.42,0.01,0.04,0.38,0.57,0.91,0.75,0.08,0.73,court,0.87,0.89,1.84,0.24
wainwright,wainwright-15,green,1,VERIFIED,NO_QUOTES,1951,0.151,8.2e-05,supports,0.63,0.01,0.12,0.15,0.72,0.79,0.77,0.15,0.62,court,0.93,0.95,1.77,0.0
wainwright,wainwright-16,green,0,VERIFIED,FABRICATED,2109,0.157,8.9e-05,supports,1.0,0.0,0.0,0.0,1.0,0.97,0.99,0.02,0.14,court,1.0,1.0,2.99,0.99
wainwright,wainwright-17,green,0,VERIFIED,CLOSE,2141,0.216,9e-05,supports,0.3,0.2,0.0,0.32,0.48,0.95,0.63,0.49,0.6,party,0.81,0.14,2.1,0.54
wainwright,wainwright-18,green,1,VERIFIED,NO_QUOTES,1742,0.178,7.3e-05,supports,0.89,0.0,0.0,0.08,0.92,0.97,0.94,0.05,0.58,court,0.99,1.0,2.94,0.94
wainwright,wainwright-19,green,1,VERIFIED,NO_QUOTES,1931,0.126,8.1e-05,supports,0.88,0.01,0.0,0.08,0.91,0.94,0.91,0.25,0.57,court,0.97,0.98,2.49,0.49
wainwright,wainwright-20,green,1,VERIFIED,NO_QUOTES,2208,0.159,9.3e-05,supports,0.96,0.0,0.0,0.03,0.97,0.97,0.95,0.05,0.47,court,0.96,0.97,2.97,0.97
wainwright,wainwright-21,green,1,VERIFIED,VERBATIM,1980,0.181,8.3e-05,supports,0.99,0.0,0.0,0.0,1.0,0.93,0.98,0.04,0.24,court,0.92,0.95,2.95,0.95
wainwright,wainwright-22,green,1,VERIFIED,NO_QUOTES,2039,0.151,8.6e-05,supports,0.89,0.0,0.0,0.08,0.92,0.97,0.95,0.05,0.62,court,0.99,1.0,2.88,0.88
wainwright,wainwright-23,green,1,VERIFIED,VERBATIM,2020,0.154,8.5e-05,supports,0.69,0.0,0.0,0.23,0.77,0.96,0.98,0.04,0.7,court,1.0,1.0,2.86,0.86
wainwright,wainwright-24,green,1,VERIFIED,NO_QUOTES,2275,0.176,9.6e-05,supports,0.75,0.01,0.0,0.18,0.81,0.96,0.92,0.08,0.6,court,0.97,0.98,2.75,0.75
wainwright,wainwright-25,green,1,VERIFIED,VERBATIM,2302,0.164,9.7e-05,supports,1.0,0.0,0.0,0.0,1.0,0.96,0.97,0.08,0.27,court,1.0,1.0,2.96,0.96
wainwright,wainwright-26,green,0,VERIFIED,CLOSE,2116,0.154,8.9e-05,supports,0.96,0.0,0.0,0.03,0.97,0.96,0.98,0.09,0.3,court,0.74,0.8,2.87,0.87
wainwright,wainwright-27,green,0,VERIFIED,CLOSE,2443,0.168,0.000103,supports,0.99,0.0,0.0,0.01,0.99,0.97,0.98,0.04,0.32,court,0.89,0.92,2.94,0.94
wainwright,wainwright-28,green,1,VERIFIED,NO_QUOTES,1546,0.197,6.5e-05,supports,0.39,0.11,0.28,0.07,0.54,0.32,0.45,0.13,0.6,not_discussed,0.36,0.46,1.99,0.0
wainwright,wainwright-29,green,1,VERIFIED,NO_QUOTES,2089,0.189,8.8e-05,supports,0.8,0.01,0.0,0.14,0.85,0.97,0.96,0.22,0.62,court,0.99,0.99,2.64,0.64
wainwright,wainwright-30,green,1,VERIFIED,NO_QUOTES,2003,0.237,8.4e-05,partly,0.39,0.08,0.28,0.54,0.1,0.84,0.29,0.37,0.79,court,0.4,0.55,0.82,0.18
wainwright,wainwright-31,green,1,VERIFIED,NO_QUOTES,1634,0.133,6.9e-05,partly,0.56,0.11,0.12,0.66,0.11,0.79,0.49,0.21,0.84,court,0.39,0.54,1.71,0.53
wainwright,wainwright-32,green,0,VERIFIED,CLOSE,2223,0.16,9.3e-05,supports,1.0,0.0,0.0,0.0,1.0,0.97,0.98,0.02,0.2,court,0.99,1.0,2.99,0.99
wainwright,wainwright-33,green,1,VERIFIED,NO_QUOTES,2059,0.138,8.6e-05,supports,0.96,0.0,0.0,0.03,0.97,0.97,0.97,0.02,0.43,court,0.98,0.99,2.94,0.94
