claim_id,verdict,checks_low,reasons,as_written,coverage,whose_view,same_issue,cited_case,proposition
10,REVIEW,3,adds to or strengthens what the opinion says | the opinion does not state the main point | the opinion does not discuss this idea,0.0,0.01,0.15,0.8,"Morrison v. Walker, 939 F.3d 633, 637 (5th Cir. 2019)",Bridgecrest's reliance on Morrison also ignores the Fifth Circuit's warning that § 1927 must not be used to punish counsel for pursuing claims that ultimately fail.
11,PROBLEM,4,adds to or strengthens what the opinion says | the opinion does not state the main point | the opinion does not discuss this idea | the opinion is about a different legal issue,0.0,0.01,0.1,0.08,"Deepwater Horizon v. Lake Eugenie Land & Dev., Inc., 857 F.3",The Fifth Circuit has rejected attempts to substitute informal notice for procedural compliance.
12,PROBLEM,4,adds to or strengthens what the opinion says | the opinion does not state the main point | the opinion does not discuss this idea | the opinion is about a different legal issue,0.0,0.0,0.01,0.05,"Deepwater Horizon v. Lake Eugenie Land & Dev., Inc., 857 F.3",The Fifth Circuit has warned that courts must not act as advocates when imposing sanctions.
13,REVIEW,4,adds to or strengthens what the opinion says | the opinion does not state the main point | the opinion does not discuss this idea | the opinion is about a different legal issue,0.0,0.0,0.29,0.45,"Edwards v. Gen. Motors Corp., 153 F.3d 242, 246 (5th Cir. 19","The court relied on defense assertions and billing records without testing Fletcher's claims through discovery, cross-examination, or evidentiary hearing, violating the procedural safeguards required under § 1927 and the court's inherent powers."
14,PROBLEM,4,quoted text does not appear in the opinion | adds to or strengthens what the opinion says | the opinion does not state the main point | the opinion does not discuss this idea | the opinion is about a different legal issue,0.0,0.0,0.0,0.02,"United States v. Miller, 953 F.3d 1095, 1101 (9th Cir. 2020)",Courts recognize FTC Identity Theft Reports as credible evidence of disputed identity and routinely treat them as prima facie proof of fraud; government-issued fraud documentation triggers evidentiary presumption.
15,PROBLEM,3,quoted text does not appear in the opinion | adds to or strengthens what the opinion says | the opinion does not state the main point | the opinion does not discuss this idea,0.01,0.03,0.13,0.5,"Fox v. Vice, 563 U.S. 826, 834–36 (2011)","Frivolousness must be assessed at the time of filing, not in hindsight."
16,PROBLEM,3,"quoted text does not appear in the opinion | adds to or strengthens what the opinion says | main point is there, but one clause or qualifier is not | the opinion is about a different legal issue",0.12,0.15,0.5,0.46,"Cooter & Gell v. Hartmarx Corp., 496 U.S. 384, 393 (1990)","Rule 11 sanctions are to be imposed only for arguments that are frivolous when made, not for those that later prove unsuccessful."
17,PROBLEM,4,adds to or strengthens what the opinion says | the opinion does not state the main point | the opinion does not discuss this idea | the opinion is about a different legal issue,0.0,0.01,0.15,0.07,"Fox v. Vice, 563 U.S. 826 (2011)","Bridgecrest conflates dismissal with misconduct, using outcome as evidence and silence as guilt. That framing collapses under Fox and Cooter, which bar retroactive justification and demand contemporaneous scrutiny."
18,REVIEW,2,adds to or strengthens what the opinion says | the opinion does not state the main point,0.0,0.02,0.5,0.55,"Cooter & Gell v. Hartmarx Corp., 496 U.S. 384 (1990)","Bridgecrest conflates dismissal with misconduct, using outcome as evidence and silence as guilt. That framing collapses under Fox and Cooter, which bar retroactive justification and demand contemporaneous scrutiny."
19,REVIEW,4,adds to or strengthens what the opinion says | the opinion does not state the main point | the opinion does not discuss this idea | the opinion is about a different legal issue,0.0,0.01,0.17,0.48,"Fox v. Vice, 563 U.S. 826 (2011)","Bridgecrest's defense hinges on a retrospective dismissal and selective skepticism of the FTC affidavit. Under Fox and Cooter, frivolousness must be judged at filing, not reconstructed after the fact."
20,REVIEW,2,"adds to or strengthens what the opinion says | main point is there, but one clause or qualifier is not",0.01,0.04,0.53,0.52,"Cooter & Gell v. Hartmarx Corp., 496 U.S. 384 (1990)","Bridgecrest's defense hinges on a retrospective dismissal and selective skepticism of the FTC affidavit. Under Fox and Cooter, frivolousness must be judged at filing, not reconstructed after the fact."
21,PROBLEM,4,adds to or strengthens what the opinion says | the opinion does not state the main point | the opinion does not discuss this idea | the opinion is about a different legal issue,0.0,0.0,0.34,0.07,"Puckett v. United States, 556 U.S. 129, 135 (2009)","Sanctions imposed without formal notice, briefing, or evidentiary hearing constitute structural error."
22,REVIEW,1,quoted text is close but not exact | adds to or strengthens what the opinion says,0.46,0.66,0.82,0.71,"Puckett v. United States, 556 U.S. 129, 135 (2009)",Structural errors are not subject to harmless error review; they affect the framework within which the trial proceeds.
23,PROBLEM,4,quoted text does not appear in the opinion | adds to or strengthens what the opinion says | the opinion does not state the main point | the opinion does not discuss this idea | the opinion is about a different legal issue,0.0,0.0,0.07,0.26,"Deepwater Horizon v. Lake Eugenie Land & Dev., Inc., 857 F.3",The Fifth Circuit has repeatedly held that sanctions imposed sua sponte without notice or hearing violate core constitutional protections.
24,PROBLEM,4,adds to or strengthens what the opinion says | the opinion does not state the main point | the opinion does not discuss this idea | the opinion is about a different legal issue,0.0,0.0,0.06,0.28,"Edwards v. Gen. Motors Corp., 153 F.3d 242, 246 (5th Cir. 19","The district court's sua sponte sanctions order violated Fletcher's constitutional right to procedural due process; sanctions imposed without formal notice, briefing, or evidentiary hearing are reviewed de novo because they implicate core constitutional safeguards."
25,PROBLEM,3,quoted text does not appear in the opinion | adds to or strengthens what the opinion says | the opinion does not state the main point | the opinion does not discuss this idea,0.02,0.07,0.36,0.54,"Vaughan v. Lewisville Indep. Sch. Dist., 62 F.4th 199, 207 (","The fee award violates Vaughan, which requires courts to segregate fees incurred defending frivolous claims from those incurred defending non-frivolous ones."
26,REVIEW,0,quoted text is close but not exact,0.87,0.97,1.0,0.97,"Fox v. Vice, 563 U.S. 826, 836 (2011)",Fox limits recovery to fees that would not have been incurred but for the frivolous claim.
27,PROBLEM,4,adds to or strengthens what the opinion says | the opinion does not state the main point | the opinion does not discuss this idea | the opinion is about a different legal issue,0.0,0.01,0.08,0.18,"Fox v. Vice, 563 U.S. 826, 836 (2011)",Experian's silence distorted the compensable frame and undermined the adversarial process.
28,PROBLEM,4,adds to or strengthens what the opinion says | the opinion does not state the main point | the opinion does not discuss this idea | the opinion is about a different legal issue,0.0,0.0,0.02,0.09,"Vaughan v. Lewisville Indep. Sch. Dist., 62 F.4th 199, 207 (",Experian's silence distorted the compensable frame and undermined the adversarial process.
29,REVIEW,0,quoted text is close but not exact,0.64,0.79,0.99,0.96,"Fox v. Vice, 563 U.S. 826, 836 (2011)","The district court made no attempt to isolate fees caused by the alleged violation, as required by Fox."
30,PROBLEM,2,"quoted text does not appear in the opinion | adds to or strengthens what the opinion says | main point is there, but one clause or qualifier is not",0.15,0.24,0.69,0.58,"Vaughan v. Lewisville Indep. Sch. Dist., 62 F.4th 199, 207 (",The district court must segregate fees incurred defending frivolous claims from those incurred defending non-frivolous ones.
31,REVIEW,2,"adds to or strengthens what the opinion says | main point is there, but one clause or qualifier is not",0.39,0.4,0.96,0.92,"Vaughan v. Lewisville Indep. Sch. Dist., 62 F.4th 199, 207 (","The district court failed to isolate fees caused by vexatious conduct, as required by § 1927 and reaffirmed in Vaughan."
32,REVIEW,2,adds to or strengthens what the opinion says | the opinion does not state the main point,0.02,0.07,0.53,0.94,"Vaughan v. Lewisville Indep. Sch. Dist., 62 F.4th 199, 207 (",The fee award violates the compensatory purpose of § 1927 and constitutes an abuse of discretion.
33,REVIEW,1,quoted text is close but not exact | adds to or strengthens what the opinion says,0.43,0.67,0.88,0.91,"Hensley v. Eckerhart, 461 U.S. 424, 434–35 (1983)",The Supreme Court has expressly rejected percentage-based fee allocations divorced from causation.
34,REVIEW,4,adds to or strengthens what the opinion says | the opinion does not state the main point | the opinion does not discuss this idea | the opinion is about a different legal issue,0.0,0.03,0.26,0.49,"Vaughan v. Lewisville Indep. Sch. Dist., 62 F.4th 199, 207 (","Bridgecrest's fee award is structurally defective; it bundles unrelated litigation tasks, lacks line-item causation findings, and includes entries that violate Vaughan and Fox."
35,REVIEW,2,"adds to or strengthens what the opinion says | main point is there, but one clause or qualifier is not",0.03,0.2,0.84,0.89,"Fox v. Vice, 563 U.S. 826, 836 (2011)","Bridgecrest's fee award is structurally defective; it bundles unrelated litigation tasks, lacks line-item causation findings, and includes entries that violate Vaughan and Fox."
36,REVIEW,2,quoted text is close but not exact | adds to or strengthens what the opinion says | the opinion does not state the main point,0.02,0.1,0.8,0.82,"Fox v. Vice, 563 U.S. 826, 836 (2011)",The Fifth Circuit requires line-item segregation of fees caused by sanctionable conduct.
37,REVIEW,2,adds to or strengthens what the opinion says | coverage: all_parts,0.26,0.46,0.93,0.85,"Vaughan v. Lewisville Indep. Sch. Dist., 62 F.4th 199, 207 (",The Fifth Circuit requires line-item segregation of fees caused by sanctionable conduct.
38,REVIEW,4,adds to or strengthens what the opinion says | the opinion does not state the main point | the opinion does not discuss this idea | the opinion is about a different legal issue,0.01,0.04,0.29,0.16,"Vaughan v. Lewisville Indep. Sch. Dist., 62 F.4th 199, 207 (",The bulk allocation violates Vaughan and renders the award non-compensatory.
39,PROBLEM,4,adds to or strengthens what the opinion says | the opinion does not state the main point | the opinion does not discuss this idea | the opinion is about a different legal issue,0.01,0.01,0.21,0.1,"Vaughan v. Lewisville Indep. Sch. Dist., 62 F.4th 199, 207 (",The absence of line-item segregation violates Vaughan and renders the award non-compensatory.
40,PROBLEM,3,quoted text does not appear in the opinion | adds to or strengthens what the opinion says | the opinion does not state the main point | the opinion is about a different legal issue,0.01,0.05,0.57,0.42,"Cooter & Gell v. Hartmarx Corp., 496 U.S. 384, 397 (1990)",The Fifth Circuit has warned against using appellate sanctions as tactical leverage. Sanctions must not be used as mere fee-shifting devices.
41,PROBLEM,3,quoted text does not appear in the opinion | adds to or strengthens what the opinion says | the opinion does not state the main point | the opinion does not discuss this idea,0.01,0.02,0.27,0.77,"Bryant v. Military Dep't of Miss., 597 F.3d 678, 682 (5th Ci",Sanctions under Rule 11 are collateral to the merits and may be imposed after dismissal.
42,PROBLEM,2,"quoted text does not appear in the opinion | adds to or strengthens what the opinion says | main point is there, but one clause or qualifier is not",0.24,0.45,0.98,0.88,"In re Case, 937 F.2d 1014, 1023 (5th Cir. 1991)","Fee awards must be causally tied to specific misconduct, not merely proximity or shared docket."
43,PROBLEM,0,quoted text does not appear in the opinion,0.99,0.99,1.0,0.96,"Coghlan v. Starkey, 852 F.2d 806, 811 (5th Cir. 1988)",An appeal is frivolous if the result is obvious or the arguments of error are wholly without merit.
44,REVIEW,1,as_written: fully,0.56,0.53,1.0,0.97,"Bryant v. Military Dep't of Miss., 597 F.3d 678, 694 (5th Ci","Section 1927 sanctions require evidence of bad faith, improper motive, or reckless disregard of duty, not mere withdrawal or frustration."
45,REVIEW,2,"adds to or strengthens what the opinion says | main point is there, but one clause or qualifier is not",0.04,0.19,0.77,0.54,"Lewis v. Brown & Root, Inc., 711 F.2d 1287, 1292 (5th Cir. 1","Courts require a clear showing of bad faith, not speculation or narrative."
46,REVIEW,3,adds to or strengthens what the opinion says | the opinion does not state the main point | the opinion does not discuss this idea,0.0,0.01,0.35,0.75,"Lewis v. Brown & Root, Inc., 711 F.2d 1287, 1292 (5th Cir. 1",Section 1927 sanctions were reversed where record lacked evidence of vexatious intent.
47,REVIEW,3,adds to or strengthens what the opinion says | the opinion does not state the main point | the opinion does not discuss this idea,0.01,0.01,0.33,0.76,"Matta v. May, 118 F.3d 410, 413 (5th Cir. 1997)",Section 1927 requires more than weak claims or procedural missteps; it demands a sustained course of vexatious litigation.
48,REVIEW,3,adds to or strengthens what the opinion says | the opinion does not state the main point | the opinion does not discuss this idea,0.01,0.01,0.4,0.54,"Cooter & Gell v. Hartmarx Corp., 496 U.S. 384, 393 (1990)",The Fifth Circuit has warned that sanctions must not punish counsel for pursuing plausible claims.
49,REVIEW,2,"adds to or strengthens what the opinion says | main point is there, but one clause or qualifier is not",0.0,0.02,0.63,0.52,"Fox v. Vice, 563 U.S. 826 (2011)","The sanctions order violates Rule 11(c)(2), rests on post hoc justification barred by Fox and Cooter, and awards fees without causation segregation required by Vaughan. These are structural defects that compel reversal."
50,REVIEW,2,adds to or strengthens what the opinion says | the opinion does not state the main point,0.0,0.05,0.57,0.74,"Cooter & Gell v. Hartmarx Corp., 496 U.S. 384 (1990)","The sanctions order violates Rule 11(c)(2), rests on post hoc justification barred by Fox and Cooter, and awards fees without causation segregation required by Vaughan. These are structural defects that compel reversal."
51,REVIEW,2,adds to or strengthens what the opinion says | the opinion does not state the main point,0.0,0.04,0.7,0.55,"Vaughan v. Lewisville Indep. Sch. Dist., 62 F.4th 199 (5th C","The sanctions order violates Rule 11(c)(2), rests on post hoc justification barred by Fox and Cooter, and awards fees without causation segregation required by Vaughan. These are structural defects that compel reversal."
52,REVIEW,2,"adds to or strengthens what the opinion says | main point is there, but one clause or qualifier is not",0.1,0.36,0.93,0.86,"Childs v. State Farm Mut. Auto. Ins. Co., 29 F.3d 1018, 1023","Sanctions must be grounded in objective evidence and articulated findings, not frustration, silence, or narrative."
53,PROBLEM,2,quoted text does not appear in the opinion | adds to or strengthens what the opinion says | coverage: all_parts,0.06,0.48,0.92,0.64,"Mendez v. County of San Bernardino, 540 F.3d 1109, 1131 (9th",Rule 11 discretion must be exercised within procedural bounds and anchored to articulated findings.
54,PROBLEM,2,"quoted text does not appear in the opinion | adds to or strengthens what the opinion says | main point is there, but one clause or qualifier is not",0.04,0.27,0.98,0.91,"Thomas v. Capital Sec. Servs., 836 F.2d 866, 873–74 (5th Cir",The district court must carefully articulate the evidence and reasoning supporting its decision to impose sanctions.
55,PROBLEM,1,quoted text does not appear in the opinion | adds to or strengthens what the opinion says,0.32,0.5,0.97,0.69,"Donaldson v. Clark, 819 F.2d 1551, 1556 (11th Cir. 1987)",Discretion is not unbounded; it must be exercised within the framework of the applicable rules and precedents.
56,REVIEW,1,adds to or strengthens what the opinion says,0.29,0.65,0.96,0.83,"In re Case, 937 F.2d 1014, 1023 (5th Cir. 1991)",Fee awards must be causally tied to specific misconduct.
57,REVIEW,2,adds to or strengthens what the opinion says | the opinion does not state the main point,0.03,0.09,0.81,0.87,"Lewis v. Brown & Root, Inc., 711 F.2d 1287, 1292 (5th Cir. 1",Section 1927 sanctions require evidence of bad faith.
58,REVIEW,2,adds to or strengthens what the opinion says | the opinion does not state the main point,0.11,0.31,0.54,0.56,"Fox v. Vice, 563 U.S. 826 (2011)",Fox and Cooter bar retroactive justification.
59,REVIEW,2,adds to or strengthens what the opinion says | the opinion does not state the main point,0.08,0.35,0.56,0.56,"Cooter & Gell v. Hartmarx Corp., 496 U.S. 384 (1990)",Fox and Cooter bar retroactive justification.
60,REVIEW,3,adds to or strengthens what the opinion says | the opinion does not state the main point | the opinion does not discuss this idea,0.06,0.22,0.36,0.51,"Vaughan v. Lewisville Indep. Sch. Dist., 62 F.4th 199 (5th C",Vaughan requires fee segregation.
61,REVIEW,3,adds to or strengthens what the opinion says | the opinion does not state the main point | this is a party's argument the court did not adopt,0.05,0.13,0.18,0.8,"Coghlan v. Starkey, 852 F.2d 806 (5th Cir. 1988)",Coghlan limits Rule 38 to objectively frivolous appeals.
